타임스탬프,학년,성별,학과(전공),취미,평균 공부 시간,공부하는 시간,자격증 개수,출석,평균 수면 시간,희망 진로,수업 집중도,수업 집중도(전공),희망 연봉,학과 만족 O/X,취업 선호도,소셜 미디어 사용시간,통학 시간,학업 스트레스,교우관계,알바 유무,방과후 유무,방과후 만족도
2023. 10. 12 오후 12:21:46,2학년,남자,창업마케팅과,운동,1시간-2시간,방과후(저녁),4,절대 안빠지죠,6시간 이상 자요,취업,6,6,3000,O,5,1시간-2시간,10-30분,2,3,X,O,8
2023. 10. 12 오후 12:21:49,2학년,남자,창업마케팅과,게임,0-30분,기타,4,반년에 한두번 빠져요,4~6시간 자요,취업,8,8,2000,O,5,2시간-3시간 이상,10-30분,3,2,X,O,5
2023. 10. 12 오후 12:23:07,3학년,남자,소프트웨어개발과,게임,0-30분,기타,6,절대 안빠지죠,6시간 이상 자요,대학교 진학,5,5,3000,O,7,1시간-2시간,10-30분,2,1,X,X,
2023. 10. 12 오후 12:23:25,3학년,남자,소프트웨어개발과,게임,0-30분,밤,5,절대 안빠지죠,4~6시간 자요,취업,7,7,3000,O,5,0-30분,10-30분,3,1,X,X,
2023. 10. 12 오후 12:23:28,2학년,남자,창업마케팅과,음악,0-30분,기타,6,한달에 한두번 빠져요,2~4시간 자요,취업,10,10,?,O,5,2시간-3시간 이상,1시간-2시간,1,1,O,X,
2023. 10. 12 오후 12:23:29,3학년,남자,소프트웨어개발과,게임,30분-1시간,기타,5,절대 안빠지죠,2~4시간 자요,아직 모르겠다,5,5,?,X,5,30-1시간,10-30분,3,3,X,X,
2023. 10. 12 오후 12:23:29,3학년,남자,소프트웨어개발과,운동,1시간-2시간,밤,5,절대 안빠지죠,6시간 이상 자요,취업,8,9,3000,O,7,1시간-2시간,10-30분,1,3,X,X,
2023. 10. 12 오후 12:23:32,3학년,남자,소프트웨어개발과,게임,1시간-2시간,방과후(저녁),7,절대 안빠지죠,4~6시간 자요,대학교 진학,5,5,3000,O,5,30-1시간,10-30분,2,2,X,X,
2023. 10. 12 오후 12:23:49,2학년,여자,창업마케팅과,게임,0-30분,방과후(저녁),1,한달에 한두번 빠져요,4~6시간 자요,대학교 진학,7,4,?,X,2,0-30분,10-30분,3,3,X,X,
2023. 10. 12 오후 12:24:25,3학년,남자,소프트웨어개발과,게임,30분-1시간,기타,4,절대 안빠지죠,4~6시간 자요,취업,6,6,3000,O,6,1시간-2시간,30-1시간,2,3,X,X,
2023. 10. 12 오후 12:24:47,3학년,남자,소프트웨어개발과,게임,30분-1시간,밤,4,절대 안빠지죠,4~6시간 자요,대학교 진학,7,8,4000,O,7,2시간-3시간 이상,10-30분,4,2,X,X,
2023. 10. 12 오후 12:25:21,2학년,남자,창업마케팅과,기타,1시간-2시간,방과후(저녁),4,한달에 한두번 빠져요,4~6시간 자요,취업,9,9,3000,O,5,30-1시간,30-1시간,3,1,X,X,
2023. 10. 12 오후 12:25:30,3학년,남자,소프트웨어개발과,게임,0-30분,기타,5,한달에 한두번 빠져요,6시간 이상 자요,아직 모르겠다,6,2,?,X,1,0-30분,10-30분,4,4,X,X,
2023. 10. 12 오후 12:25:46,2학년,남자,창업마케팅과,운동,30분-1시간,밤,3,반년에 한두번 빠져요,6시간 이상 자요,대학교 진학,9,8,3000,O,7,1시간-2시간,30-1시간,2,1,X,X,
