타임스탬프,몇학년이신가요!? (A),성별은요!? (A),학과(전공)가 어떻게 되세요? (A),취미가 어떻게 되세요!? (A),휴대폰을 주로 이용하는 시간대가 어떻게 되세요? (K),휴대폰을 하루에 몇시간정도 이용하나요? (K),"휴대폰으로 주로 무얼 하나요?(게임, SNS, 정보검색 등) (K)",자기 전 1시간 이내에 휴대폰을 이용하시나요? (K),여가시간에 전자기기를 제외하고 주로 무얼 하시나요? (K),학교 수업 외로 하루 평균 공부 시간은 얼마나 되시나요? (A),주로 집중적으로 공부하는 시간은 언제인가요? (A),취업 후 기대하는 연봉은 얼마인가요!? (A),학과(전공) 선택에 만족하시나요!? (A),전공 관련 취업 선호도는 어느정도인가요? (A),하루 평균 소셜 미디어 사용 시간은 얼마나 되나요? (A),집에서 학교까지 오는데 걸리는 시간은 어느정도인가요? (A),학업 스트레스는 어느정도인가요? (A),교우관계는 어떠신가요? (A),아르바이트를 하시나요!? (A),방과후 수업을 하시나요!? (A),
2023. 10. 12 오후 6:06:12,2학년,남자,소프트웨어개발과,영상시청,밤에(20시~24시),5~7시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,1시간-2시간,밤,3000~4000,O,10,1시간-2시간,10-30분,3,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 6:08:58,2학년,남자,소프트웨어개발과,운동,아침(6시~9시),1~3시간,정보검색,한다,스포츠 활동,0-30분,밤,4000만원,O,6,1시간-2시간,30-1시간,3,3,O,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 6:09:05,2학년,남자,소프트웨어개발과,운동,밤에(20시~24시),1~3시간,웹툰,한다,스포츠 활동,1시간-2시간,밤,많이,O,6,0-30분,10-30분,4,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 6:10:42,2학년,남자,소프트웨어개발과,예술,새벽에(00시~6시),5~7시간,"영상 시청(유튜브, OTT)",한다,그림,30분-1시간,밤,200만 ~ 300만,O,7,2시간-3시간 이상,1시간-2시간,2,2,X,X,
2023. 10. 12 오후 6:11:46,2학년,남자,소프트웨어개발과,음악,저녁에(17시~20시),5~7시간,SNS,한다,악기 연주,0-30분,방과후(저녁),"25,000,000",O,5,1시간-2시간,30-1시간,2,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 6:11:47,2학년,남자,소프트웨어개발과,게임,밤에(20시~24시),3~5시간,웹툰,한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,밤,2100 만원 이상,O,6,2시간-3시간 이상,10-30분,2,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 6:12:23,2학년,남자,소프트웨어개발과,게임,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,30분-1시간,방과후(저녁),3천,O,10,1시간-2시간,1시간-2시간,1,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 6:12:32,2학년,남자,소프트웨어개발과,게임,밤에(20시~24시),5~7시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,밤,5000위로,O,7,2시간-3시간 이상,10-30분,2,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 6:13:12,2학년,남자,소프트웨어개발과,운동,밤에(20시~24시),3~5시간,SNS,한다,스포츠 활동,0-30분,방과후(저녁),1500억,O,6,1시간-2시간,30-1시간,3,4,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 6:14:08,2학년,남자,소프트웨어개발과,게임,학교에서(9시~17시),3~5시간,게임,한다,"문화생활(영화, 뮤지컬 등)",1시간-2시간,방과후(저녁),4000만,O,5,1시간-2시간,10-30분,3,3,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 6:15:08,2학년,남자,소프트웨어개발과,게임,아침(6시~9시),3~5시간,"영상 시청(유튜브, OTT)",한다,공부,1시간-2시간,기타,4000,O,8,0-30분,30-1시간,2,2,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 6:15:10,2학년,남자,소프트웨어개발과,운동,밤에(20시~24시),3~5시간,SNS,한다,스포츠 활동,0-30분,방과후(저녁),2500만원,O,6,2시간-3시간 이상,30-1시간,3,1,O,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 6:15:42,2학년,남자,소프트웨어개발과,음악,학교에서(9시~17시),3~5시간,"영상 시청(유튜브, OTT)",안한다,피아노,1시간-2시간,밤,10억,O,5,30-1시간,10-30분,4,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 6:36:09,2학년,남자,창업마케팅과,음악,밤에(20시~24시),9시간 이상,"영상 시청(유튜브, OTT)",한다,스포츠 활동,30분-1시간,방과후(저녁),"30,000,000",O,5,30-1시간,10-30분,1,1,O,X,
2023. 10. 12 오후 6:36:34,2학년,남자,소프트웨어개발과,게임,밤에(20시~24시),1~3시간,정보검색,한다,"문화생활(영화, 뮤지컬 등)",1시간-2시간,밤,3500,O,5,0-30분,30-1시간,3,2,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 6:55:54,2학년,여자,금융경영과,영상시청,저녁에(17시~20시),5~7시간,SNS,한다,놀기,0-30분,방과후(저녁),모르겠어요,X,5,2시간-3시간 이상,10-30분,3,3,X,X,
2023. 10. 12 오후 7:04:43,2학년,남자,소프트웨어개발과,게임,밤에(20시~24시),1~3시간,"영상 시청(유튜브, OTT)",한다,공부,30분-1시간,밤,3000만원,O,8,1시간-2시간,1시간-2시간,1,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 7:07:00,2학년,여자,부사관과,운동,학교에서(9시~17시),5~7시간,SNS,한다,스포츠 활동,1시간-2시간,밤,아직 모르겠습니다,O,9,1시간-2시간,30-1시간,2,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 7:08:53,1학년,남자,소프트웨어개발과,게임,저녁에(17시~20시),3~5시간,웹툰,한다,공부,30분-1시간,방과후(저녁),3억3천3백3십3만3원3천3백3십3원,O,7,0-30분,2시간 이상,4,3,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 7:08:58,2학년,여자,부사관과,운동,학교에서(9시~17시),1~3시간,정보검색,안한다,스포츠 활동,1시간-2시간,방과후(저녁),2000천,O,10,1시간-2시간,30-1시간,3,4,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 7:13:53,2학년,남자,부사관과,기타,학교에서(9시~17시),3~5시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,1시간-2시간,밤,없다,O,10,30-1시간,10-30분,1,1,X,X,
2023. 10. 12 오후 7:15:20,2학년,남자,부사관과,운동,새벽에(00시~6시),3~5시간,SNS,한다,스포츠 활동,2시간-3시간 이상,방과후(저녁),3000,O,8,2시간-3시간 이상,10-30분,3,4,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 7:19:22,2학년,남자,부사관과,게임,학교에서(9시~17시),5~7시간,정보검색,한다,TV 보기,2시간-3시간 이상,방과후(저녁),100만원 이상,O,5,2시간-3시간 이상,30-1시간,2,2,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 7:26:17,2학년,남자,부사관과,게임,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",2시간-3시간 이상,방과후(저녁),3000만원,O,7,1시간-2시간,10-30분,3,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 7:30:40,2학년,여자,부사관과,음악,밤에(20시~24시),1~3시간,"영상 시청(유튜브, OTT)",안한다,"문화생활(영화, 뮤지컬 등)",1시간-2시간,방과후(저녁),2500,O,8,0-30분,10-30분,3,2,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 7:32:55,1학년,남자,소프트웨어개발과,게임,저녁에(17시~20시),1~3시간,"영상 시청(유튜브, OTT)",한다,컴퓨터,30분-1시간,밤,평균보다 많이,O,10,0-30분,1시간-2시간,2,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 7:39:43,1학년,남자,소프트웨어개발과,기타,학교에서(9시~17시),1~3시간,웹툰,한다,책읽기,0-30분,밤,4000만,O,7,0-30분,1시간-2시간,3,3,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 7:40:16,2학년,남자,부사관과,운동,새벽에(00시~6시),3~5시간,SNS,한다,스포츠 활동,30분-1시간,방과후(저녁),2000,O,10,1시간-2시간,10-30분,2,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 8:04:58,2학년,남자,부사관과,운동,밤에(20시~24시),1~3시간,SNS,한다,스포츠 활동,1시간-2시간,밤,2400만원,O,8,1시간-2시간,10-30분,3,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 8:05:32,2학년,남자,금융경영과,기타,밤에(20시~24시),5~7시간,"영상 시청(유튜브, OTT)",한다,밖에서 친구랑 놀기,1시간-2시간,방과후(저녁),3600이상,O,5,2시간-3시간 이상,10-30분,3,3,X,X,
2023. 10. 12 오후 8:22:37,2학년,남자,부사관과,운동,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,공부,2시간-3시간 이상,방과후(저녁),3000만원,O,8,1시간-2시간,1시간-2시간,3,3,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 11:42:25,1학년,남자,소프트웨어개발과,운동,학교에서(9시~17시),1~3시간,"영상 시청(유튜브, OTT)",한다,TV 보기,0-30분,밤,2400,X,3,0-30분,10-30분,3,4,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 11:54:39,2학년,여자,스마트웹콘텐츠과,예술,학교에서(9시~17시),5~7시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",1시간-2시간,밤,평균 연봉,X,5,2시간-3시간 이상,10-30분,4,2,X,O(아래 질문에 답변해주세요!),
2023. 10. 13 오전 12:24:40,2학년,남자,창업마케팅과,게임,저녁에(17시~20시),9시간 이상,전화,한다,대화,0-30분,기타,"6,000만원",X,2,2시간-3시간 이상,30-1시간,1,1,O,X,
2023. 10. 13 오전 1:12:48,2학년,남자,소프트웨어개발과,운동,저녁에(17시~20시),3~5시간,웹툰,한다,스포츠 활동,0-30분,방과후(저녁),모르겠다,X,3,1시간-2시간,10-30분,4,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 13 오전 6:29:59,2학년,남자,소프트웨어개발과,기타,새벽에(00시~6시),3~5시간,정보검색,한다,,1시간-2시간,방과후(저녁),250~300,X,6,1시간-2시간,1시간-2시간,3,2,X,O(아래 질문에 답변해주세요!),
2023. 10. 13 오전 7:15:31,2학년,여자,부사관과,운동,밤에(20시~24시),3~5시간,전화,한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,밤,많이,O,8,30-1시간,10-30분,4,3,O,O(아래 질문에 답변해주세요!),
2023. 10. 13 오전 8:36:09,2학년,남자,소프트웨어개발과,게임,밤에(20시~24시),1~3시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",0-30분,방과후(저녁),안굶어죽을정도,O,10,0-30분,10-30분,1,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 13 오전 8:56:51,1학년,여자,스마트웹콘텐츠과,예술,저녁에(17시~20시),3~5시간,게임,한다,"문화생활(영화, 뮤지컬 등)",0-30분,밤,어..잘 모르겠습니다,X,8,1시간-2시간,10-30분,1,2,X,O(아래 질문에 답변해주세요!),
2023. 10. 13 오전 8:57:04,1학년,남자,스마트웹콘텐츠과,운동,학교에서(9시~17시),7~9시간,게임,안한다,스포츠 활동,30분-1시간,밤,잘 모르겠습니다,O,6,30-1시간,10-30분,4,2,X,X,
2023. 10. 13 오전 8:57:20,1학년,남자,스마트웹콘텐츠과,게임,저녁에(17시~20시),3~5시간,게임,안한다,TV 보기,0-30분,방과후(저녁),180,O,5,30-1시간,30-1시간,2,3,X,O(아래 질문에 답변해주세요!),
2023. 10. 13 오전 8:57:37,1학년,남자,스마트웹콘텐츠과,게임,저녁에(17시~20시),5~7시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,방과후(저녁),4000이상,O,8,30-1시간,30-1시간,2,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 13 오전 8:59:21,1학년,남자,스마트웹콘텐츠과,게임,저녁에(17시~20시),3~5시간,"영상 시청(유튜브, OTT)",한다,TV 보기,1시간-2시간,방과후(저녁),3000,O,9,30-1시간,10-30분,2,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 13 오전 8:59:48,1학년,남자,스마트웹콘텐츠과,게임,저녁에(17시~20시),5~7시간,게임,한다,그림 그리기,0-30분,기타,몰르겠다,O,2,30-1시간,10-30분,4,3,X,X,
2023. 10. 13 오전 8:59:49,1학년,남자,스마트웹콘텐츠과,운동,학교에서(9시~17시),1~3시간,SNS,한다,스포츠 활동,1시간-2시간,밤,300,X,2,0-30분,30-1시간,4,1,O,X,
2023. 10. 13 오전 9:00:01,1학년,남자,스마트웹콘텐츠과,게임,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,TV 보기,0-30분,밤,2400,X,2,30-1시간,10-30분,3,2,O,X,
2023. 10. 13 오전 9:00:08,1학년,남자,스마트웹콘텐츠과,게임,학교에서(9시~17시),5~7시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,방과후(저녁),3000,O,7,30-1시간,10-30분,2,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 13 오전 9:00:27,1학년,여자,스마트웹콘텐츠과,영상시청,밤에(20시~24시),3~5시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,밤,모르겠다,O,5,2시간-3시간 이상,30-1시간,1,1,X,X,
2023. 10. 13 오전 9:00:32,1학년,여자,스마트웹콘텐츠과,예술,밤에(20시~24시),5~7시간,그림,한다,"문화생활(영화, 뮤지컬 등)",0-30분,기타,8000~1억..... ... .. .,X,5,1시간-2시간,10-30분,4,2,X,O(아래 질문에 답변해주세요!),
2023. 10. 13 오전 9:01:17,1학년,남자,스마트웹콘텐츠과,게임,저녁에(17시~20시),5~7시간,"영상 시청(유튜브, OTT)",한다,TV 보기,0-30분,밤,100만원 이상,X,4,1시간-2시간,10-30분,2,3,X,X,
2023. 10. 13 오전 9:27:17,1학년,여자,부사관과,예술,저녁에(17시~20시),5~7시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",1시간-2시간,방과후(저녁),최대 5억,O,8,1시간-2시간,30-1시간,2,1,X,X,
2023. 10. 13 오전 9:27:25,1학년,남자,부사관과,운동,아침(6시~9시),3~5시간,SNS,한다,스포츠 활동,0-30분,방과후(저녁),100억,O,10,2시간-3시간 이상,30-1시간,4,1,O,X,
2023. 10. 13 오전 9:27:27,1학년,여자,부사관과,영상시청,학교에서(9시~17시),3~5시간,SNS,한다,TV 보기,1시간-2시간,방과후(저녁),500만원,O,5,30-1시간,10-30분,2,2,X,O(아래 질문에 답변해주세요!),
2023. 10. 13 오전 9:27:36,1학년,여자,부사관과,운동,밤에(20시~24시),5~7시간,SNS,안한다,스포츠 활동,1시간-2시간,밤,6억,O,10,2시간-3시간 이상,30-1시간,2,4,O,X,
2023. 10. 13 오전 9:27:54,1학년,남자,부사관과,운동,밤에(20시~24시),5~7시간,SNS,한다,스포츠 활동,1시간-2시간,방과후(저녁),1억,O,10,30-1시간,30-1시간,1,1,X,X,
2023. 10. 13 오전 9:28:04,1학년,남자,부사관과,운동,저녁에(17시~20시),3~5시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,30분-1시간,방과후(저녁),1억,O,10,1시간-2시간,10-30분,3,1,X,X,
2023. 10. 13 오전 9:28:15,1학년,여자,부사관과,음악,저녁에(17시~20시),1~3시간,"영상 시청(유튜브, OTT)",한다,공부,1시간-2시간,방과후(저녁),8000천,O,6,30-1시간,10-30분,2,3,O,O(아래 질문에 답변해주세요!),
2023. 10. 13 오전 9:28:31,1학년,여자,부사관과,영상시청,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",0-30분,방과후(저녁),7000,O,10,1시간-2시간,10-30분,2,1,X,X,
2023. 10. 13 오전 9:28:50,1학년,남자,부사관과,운동,저녁에(17시~20시),3~5시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,30분-1시간,방과후(저녁),70000000,O,5,2시간-3시간 이상,10-30분,2,4,O,X,
2023. 10. 13 오전 9:29:37,1학년,여자,부사관과,운동,저녁에(17시~20시),1~3시간,SNS,한다,공부,1시간-2시간,방과후(저녁),5억,O,10,1시간-2시간,30-1시간,4,2,X,X,
2023. 10. 13 오전 9:29:45,1학년,남자,부사관과,게임,학교에서(9시~17시),3~5시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,30분-1시간,방과후(저녁),3000만원,O,8,1시간-2시간,30-1시간,4,2,X,X,
2023. 10. 13 오전 9:29:52,1학년,남자,부사관과,운동,저녁에(17시~20시),5~7시간,게임,한다,스포츠 활동,30분-1시간,방과후(저녁),3000만원,O,10,1시간-2시간,10-30분,2,2,X,X,
2023. 10. 13 오전 9:30:25,1학년,여자,부사관과,운동,밤에(20시~24시),3~5시간,SNS,한다,스포츠 활동,30분-1시간,방과후(저녁),7억,O,8,2시간-3시간 이상,10-30분,3,1,O,X,
2023. 10. 13 오전 9:30:31,1학년,여자,부사관과,영상시청,밤에(20시~24시),1~3시간,"영상 시청(유튜브, OTT)",한다,책 읽기,0-30분,밤,3000만원,O,6,1시간-2시간,2시간 이상,1,3,X,X,
2023. 10. 13 오전 9:30:31,1학년,여자,부사관과,기타,저녁에(17시~20시),5~7시간,SNS,한다,공부,1시간-2시간,밤,칠천만원,O,10,2시간-3시간 이상,10-30분,2,1,X,X,
2023. 10. 13 오전 9:30:44,1학년,남자,부사관과,운동,저녁에(17시~20시),1~3시간,"영상 시청(유튜브, OTT)",한다,,30분-1시간,밤,1억,O,10,30-1시간,30-1시간,3,1,O,X,
2023. 10. 13 오전 9:31:19,1학년,여자,부사관과,영상시청,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",1시간-2시간,밤,1억,O,6,1시간-2시간,10-30분,3,2,X,O(아래 질문에 답변해주세요!),
2023. 10. 13 오전 9:32:33,1학년,여자,부사관과,운동,밤에(20시~24시),1~3시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",1시간-2시간,밤,7천만원,O,8,30-1시간,30-1시간,2,2,X,X,
2023. 10. 13 오전 9:32:33,1학년,여자,부사관과,운동,밤에(20시~24시),5~7시간,웹툰,한다,스포츠 활동,0-30분,밤,2500이상,O,10,1시간-2시간,10-30분,3,1,O,X,
2023. 10. 13 오전 9:32:51,1학년,남자,부사관과,운동,저녁에(17시~20시),1~3시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,30분-1시간,방과후(저녁),달에 300 36000000,O,7,30-1시간,10-30분,3,4,X,X,
2023. 10. 13 오전 10:00:05,1학년,남자,부사관과,운동,학교에서(9시~17시),3~5시간,SNS,한다,스포츠 활동,0-30분,방과후(저녁),20000000,O,9,2시간-3시간 이상,30-1시간,1,2,O,X,
2023. 10. 13 오전 10:30:19,1학년,여자,부사관과,게임,저녁에(17시~20시),3~5시간,SNS,한다,스포츠 활동,1시간-2시간,방과후(저녁),4천만원,O,9,1시간-2시간,30-1시간,3,3,O,X,
2023. 10. 13 오전 10:57:47,1학년,여자,부사관과,음악,저녁에(17시~20시),3~5시간,SNS,한다,TV 보기,1시간-2시간,방과후(저녁),5억,O,10,1시간-2시간,30-1시간,2,2,X,X,
2023. 10. 13 오후 2:57:37,2학년,남자,스마트웹콘텐츠과,게임,저녁에(17시~20시),3~5시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,방과후(저녁),4000,O,7,30-1시간,10-30분,2,2,X,X,
2023. 10. 16 오전 5:30:44,2학년,남자,창업마케팅과,음악,저녁에(17시~20시),5~7시간,게임,한다,"문화생활(영화, 뮤지컬 등)",0-30분,밤,1억,O,2,0-30분,10-30분,2,1,X,X,
