타임스탬프,몇학년이신가요!? (A),성별은요!? (A),학과(전공)가 어떻게 되세요? (A),취미가 어떻게 되세요!? (A),휴대폰을 주로 이용하는 시간대가 어떻게 되세요? (K),휴대폰을 하루에 몇시간정도 이용하나요? (K),"휴대폰으로 주로 무얼 하나요?(게임, SNS, 정보검색 등) (K)",자기 전 1시간 이내에 휴대폰을 이용하시나요? (K),여가시간에 전자기기를 제외하고 주로 무얼 하시나요? (K),학교 수업 외로 하루 평균 공부 시간은 얼마나 되시나요? (A),주로 집중적으로 공부하는 시간은 언제인가요? (A),취업 후 기대하는 연봉은 얼마인가요!? (A),학과(전공) 선택에 만족하시나요!? (A),전공 관련 취업 선호도는 어느정도인가요? (A),하루 평균 소셜 미디어 사용 시간은 얼마나 되나요? (A),집에서 학교까지 오는데 걸리는 시간은 어느정도인가요? (A),학업 스트레스는 어느정도인가요? (A),교우관계는 어떠신가요? (A),아르바이트를 하시나요!? (A),방과후 수업을 하시나요!? (A),
2023. 10. 12 오후 3:50:51,1학년,여자,소프트웨어개발과,기타,밤에(20시~24시),5~7시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,밤,잘 모르겠다,X,5,2시간-3시간 이상,30-1시간,2,3,O,X,
2023. 10. 12 오후 3:50:56,1학년,여자,소프트웨어개발과,음악,학교에서(9시~17시),1~3시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",0-30분,밤,3000만원,X,8,2시간-3시간 이상,10-30분,2,2,X,X,
2023. 10. 12 오후 3:50:57,1학년,남자,스마트웹콘텐츠과,운동,학교에서(9시~17시),3~5시간,웹툰,한다,스포츠 활동,0-30분,기타,500,O,6,2시간-3시간 이상,10-30분,1,1,X,X,
2023. 10. 12 오후 3:51:11,1학년,남자,소프트웨어개발과,운동,밤에(20시~24시),1~3시간,SNS,한다,스포츠 활동,30분-1시간,밤,4000,O,6,30-1시간,10-30분,4,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 3:51:17,2학년,남자,소프트웨어개발과,게임,저녁에(17시~20시),5~7시간,"영상 시청(유튜브, OTT)",안한다,TV 보기,30분-1시간,방과후(저녁),700만,O,10,0-30분,10-30분,1,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 3:51:23,1학년,남자,스마트웹콘텐츠과,게임,저녁에(17시~20시),3~5시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",2시간-3시간 이상,기타,모르겠다,X,4,1시간-2시간,10-30분,3,3,X,X,
2023. 10. 12 오후 3:51:24,2학년,남자,소프트웨어개발과,게임,밤에(20시~24시),3~5시간,웹툰,한다,스포츠 활동,30분-1시간,기타,많이,X,0,30-1시간,10-30분,3,1,X,X,
2023. 10. 12 오후 3:51:30,1학년,남자,소프트웨어개발과,운동,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,30분-1시간,방과후(저녁),700,O,7,2시간-3시간 이상,30-1시간,2,2,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 3:51:33,1학년,여자,소프트웨어개발과,영상시청,아침(6시~9시),3~5시간,"영상 시청(유튜브, OTT)",한다,잠,0-30분,밤,5000,X,5,1시간-2시간,10-30분,4,2,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 3:51:38,1학년,남자,소프트웨어개발과,영상시청,새벽에(00시~6시),9시간 이상,SNS,한다,TV 보기,0-30분,밤,1억,O,10,2시간-3시간 이상,30-1시간,4,4,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 3:51:47,1학년,남자,소프트웨어개발과,운동,아침(6시~9시),3~5시간,SNS,한다,스포츠 활동,2시간-3시간 이상,방과후(저녁),3300만원,O,10,1시간-2시간,30-1시간,2,3,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 3:52:05,1학년,남자,금융경영과,게임,학교에서(9시~17시),9시간 이상,웹툰,한다,스포츠 활동,0-30분,기타,1억,O,5,0-30분,10-30분,2,3,O,X,
2023. 10. 12 오후 3:52:17,1학년,남자,금융경영과,운동,저녁에(17시~20시),1~3시간,SNS,한다,스포츠 활동,30분-1시간,방과후(저녁),8000만원 이상,O,6,30-1시간,10-30분,2,3,O,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 3:52:29,1학년,남자,스마트웹콘텐츠과,기타,학교에서(9시~17시),1~3시간,"영상 시청(유튜브, OTT)",한다,기타,1시간-2시간,방과후(저녁),평균보다 많았으면 좋겠다,X,6,30-1시간,10-30분,3,1,X,X,
2023. 10. 12 오후 3:52:58,1학년,남자,소프트웨어개발과,기타,새벽에(00시~6시),5~7시간,웹소설,한다,TV 보기,0-30분,밤,3000만,O,10,2시간-3시간 이상,30-1시간,2,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 3:53:09,1학년,남자,소프트웨어개발과,게임,밤에(20시~24시),3~5시간,SNS,한다,스포츠 활동,0-30분,방과후(저녁),1억,O,6,1시간-2시간,10-30분,3,3,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 3:53:12,1학년,여자,소프트웨어개발과,기타,학교에서(9시~17시),1시간 미만,SNS,안한다,스포츠 활동,30분-1시간,방과후(저녁),1억,O,10,30-1시간,30-1시간,1,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 3:53:26,1학년,남자,소프트웨어개발과,게임,밤에(20시~24시),5~7시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,0-30분,밤,3300만원,O,7,2시간-3시간 이상,30-1시간,3,3,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 3:53:28,2학년,남자,소프트웨어개발과,영상시청,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,TV 보기,30분-1시간,밤,2750만원,O,10,2시간-3시간 이상,30-1시간,3,3,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 3:53:42,1학년,남자,소프트웨어개발과,게임,밤에(20시~24시),5~7시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,30분-1시간,방과후(저녁),6000,X,4,30-1시간,30-1시간,3,1,O,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 3:56:09,1학년,남자,소프트웨어개발과,게임,밤에(20시~24시),5~7시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,0-30분,기타,10억,O,5,1시간-2시간,10-30분,4,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 4:10:16,3학년,여자,소프트웨어개발과,음악,새벽에(00시~6시),7~9시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",0-30분,밤,3000만원,X,7,1시간-2시간,10-30분,2,3,O,X,
2023. 10. 12 오후 4:30:54,1학년,여자,창업마케팅과,게임,밤에(20시~24시),3~5시간,게임,한다,"문화생활(영화, 뮤지컬 등)",2시간-3시간 이상,밤,100억,O,10,2시간-3시간 이상,10-30분,4,3,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 4:31:45,1학년,여자,창업마케팅과,게임,저녁에(17시~20시),3~5시간,게임,한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,밤,모르겠음,X,8,30-1시간,1시간-2시간,3,1,O,X,
2023. 10. 12 오후 4:32:06,1학년,여자,창업마케팅과,기타,밤에(20시~24시),9시간 이상,SNS,한다,친구 만나기,0-30분,밤,5천 이상,X,4,2시간-3시간 이상,10-30분,2,1,O,X,
2023. 10. 12 오후 4:32:19,1학년,여자,창업마케팅과,예술,밤에(20시~24시),7~9시간,SNS,한다,스포츠 활동,0-30분,밤,모름,O,6,2시간-3시간 이상,1시간-2시간,2,3,X,X,
2023. 10. 12 오후 4:32:25,1학년,여자,창업마케팅과,예술,새벽에(00시~6시),9시간 이상,"영상 시청(유튜브, OTT)",한다,잠,0-30분,기타,100000000000000000\\\\\\,X,5,30-1시간,10-30분,4,2,X,X,
2023. 10. 12 오후 4:32:29,1학년,여자,창업마케팅과,기타,밤에(20시~24시),5~7시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",0-30분,기타,생각안해봄,O,5,2시간-3시간 이상,10-30분,2,2,X,X,
2023. 10. 12 오후 4:32:31,1학년,남자,창업마케팅과,운동,밤에(20시~24시),5~7시간,SNS,한다,스포츠 활동,30분-1시간,밤,300,O,5,1시간-2시간,10-30분,2,3,X,X,
2023. 10. 12 오후 4:32:32,1학년,여자,창업마케팅과,기타,밤에(20시~24시),9시간 이상,SNS,한다,TV 보기,0-30분,기타,딱히 없음,O,5,2시간-3시간 이상,1시간-2시간,2,1,X,X,
2023. 10. 12 오후 4:32:40,1학년,여자,창업마케팅과,기타,밤에(20시~24시),9시간 이상,SNS,한다,TV 보기,0-30분,기타,생각 안 해봄,X,0,0-30분,10-30분,1,1,X,X,
2023. 10. 12 오후 4:32:46,1학년,여자,창업마케팅과,음악,학교에서(9시~17시),9시간 이상,SNS,한다,"문화생활(영화, 뮤지컬 등)",0-30분,밤,최대한 많이,O,5,0-30분,10-30분,3,2,X,X,
2023. 10. 12 오후 4:32:47,1학년,여자,창업마케팅과,음악,밤에(20시~24시),5~7시간,"영상 시청(유튜브, OTT)",한다,,0-30분,밤,생각안해봄,X,2,2시간-3시간 이상,10-30분,3,2,O,X,
