타임스탬프,학년,성별,학과(전공),취미,평균 공부 시간,공부하는 시간,자격증 개수,출석,평균 수면 시간,희망 진로,수업 집중도,수업 집중도(전공),희망 연봉,학과 만족 O/X,취업 선호도,소셜 미디어 사용시간,통학 시간,학업 스트레스,교우관계,알바 유무,방과후 유무,방과후 만족도
2023. 10. 12 오후 1:02:43,1학년,여자,회계정보과,운동,0-30분,기타,3,한달에 한두번 빠져요,4~6시간 자요,아직 모르겠다,5,7,3000천 이상(?),O,5,30-1시간,10-30분,2,3,X,X,
2023. 10. 12 오후 1:03:12,1학년,남자,금융경영과,게임,0-30분,방과후(저녁),2,절대 안빠지죠,4~6시간 자요,취업,10,10,5000만원,O,7,30-1시간,10-30분,2,3,X,X,
2023. 10. 12 오후 1:09:58,2학년,여자,창업마케팅과,게임,30분-1시간,밤,1,한달에 한두번 이상 빠져요,6시간 이상 자요,아직 모르겠다,3,6,X,O,4,1시간-2시간,10-30분,3,3,X,X,
2023. 10. 12 오후 1:28:46,3학년,남자,스마트웹콘텐츠과,예술,0-30분,밤,2,절대 안빠지죠,6시간 이상 자요,대학교 진학,5,3,200,X,4,0-30분,10-30분,1,2,O,X,
2023. 10. 12 오후 1:29:50,3학년,남자,스마트웹콘텐츠과,게임,0-30분,밤,5,절대 안빠지죠,6시간 이상 자요,취업,4,5,200,O,5,30-1시간,10-30분,2,2,X,X,
2023. 10. 12 오후 1:47:42,2학년,여자,금융경영과,게임,1시간-2시간,밤,10개 이상,절대 안빠지죠,6시간 이상 자요,취업,8,8,"4,000만 이상",X,10,2시간-3시간 이상,10-30분,4,2,O,O(아래 질문에 답변해주세요!),1
2023. 10. 12 오후 1:47:58,2학년,여자,금융경영과,음악,30분-1시간,방과후(저녁),3,절대 안빠지죠,4~6시간 자요,아직 모르겠다,7,7,1,O,5,2시간-3시간 이상,10-30분,1,2,X,X,1
2023. 10. 12 오후 1:48:52,2학년,여자,금융경영과,기타,2시간-3시간 이상,밤,10개 이상,1년에 한두번 빠져요,4~6시간 자요,취업,10,9,3000,O,8,1시간-2시간,30-1시간,3,2,O,O(아래 질문에 답변해주세요!),8
2023. 10. 12 오후 1:49:11,2학년,남자,금융경영과,운동,2시간-3시간 이상,방과후(저녁),10개 이상,절대 안빠지죠,6시간 이상 자요,취업,10,10,3500만원,O,10,30-1시간,10-30분,3,1,X,O(아래 질문에 답변해주세요!),8
2023. 10. 12 오후 1:49:22,2학년,남자,금융경영과,게임,30분-1시간,밤,4,한달에 한두번 이상 빠져요,2~4시간 자요,취업,6,4,2300만원,X,3,30-1시간,30-1시간,3,4,O,X,
2023. 10. 12 오후 1:50:16,2학년,남자,금융경영과,기타,2시간-3시간 이상,방과후(저녁),8,절대 안빠지죠,4~6시간 자요,취업,8,8,2000,O,5,1시간-2시간,30-1시간,2,2,O,O(아래 질문에 답변해주세요!),8
2023. 10. 12 오후 1:50:35,1학년,남자,스마트웹콘텐츠과,게임,30분-1시간,밤,1,1년에 한두번 빠져요,6시간 이상 자요,아직 모르겠다,8,10,4000~5000,O,7,2시간-3시간 이상,30-1시간,2,1,X,O(아래 질문에 답변해주세요!),5
2023. 10. 12 오후 1:50:41,2학년,여자,창업마케팅과,기타,30분-1시간,방과후(저녁),1,한달에 한두번 빠져요,2~4시간 자요,취업,4,4,1억,O,8,2시간-3시간 이상,10-30분,1,1,O,X,
2023. 10. 12 오후 1:51:20,1학년,남자,스마트웹콘텐츠과,게임,30분-1시간,방과후(저녁),1,절대 안빠지죠,6시간 이상 자요,취업,7,10,300만원,O,10,30-1시간,10-30분,2,3,X,O(아래 질문에 답변해주세요!),10
2023. 10. 12 오후 1:52:51,1학년,여자,스마트웹콘텐츠과,기타,30분-1시간,방과후(저녁),4,반년에 한두번 빠져요,4~6시간 자요,아직 모르겠다,7,7,모르겠습니다,O,5,2시간-3시간 이상,10-30분,3,2,X,X,
2023. 10. 12 오후 1:53:45,1학년,남자,스마트웹콘텐츠과,게임,0-30분,방과후(저녁),1,절대 안빠지죠,4~6시간 자요,대학교 진학,5,8,월 200부터 500까지,O,6,0-30분,10-30분,4,1,X,O(아래 질문에 답변해주세요!),8
2023. 10. 12 오후 1:53:49,1학년,남자,스마트웹콘텐츠과,게임,0-30분,방과후(저녁),1,절대 안빠지죠,6시간 이상 자요,아직 모르겠다,7,7,400,O,10,2시간-3시간 이상,10-30분,1,2,X,O(아래 질문에 답변해주세요!),9
2023. 10. 12 오후 1:54:13,1학년,남자,스마트웹콘텐츠과,운동,30분-1시간,기타,3,절대 안빠지죠,2~4시간 자요,취업,10,10,1억,X,7,1시간-2시간,10-30분,2,4,O,X,
2023. 10. 12 오후 1:55:01,1학년,남자,스마트웹콘텐츠과,운동,30분-1시간,방과후(저녁),1,절대 안빠지죠,2~4시간 자요,아직 모르겠다,7,5,아직 모름,O,5,1시간-2시간,10-30분,2,2,X,O(아래 질문에 답변해주세요!),5
2023. 10. 12 오후 1:55:55,1학년,남자,스마트웹콘텐츠과,운동,30분-1시간,밤,1,절대 안빠지죠,4~6시간 자요,취업,10,10,없음,O,10,0-30분,10-30분,1,1,X,O(아래 질문에 답변해주세요!),10
2023. 10. 12 오후 1:57:48,3학년,여자,금융경영과,기타,0-30분,밤,10개 이상,절대 안빠지죠,4~6시간 자요,취업,2,2,3000,O,7,1시간-2시간,30-1시간,2,1,O,X,
